Korea, Rep.	24,155.8	24,454.0	25,997.9	27,970.5	
Kuwait	47,551.4	50,903.9	48,463.2	43,593.7	
Kyrgyz Republic	1,123.9	1,178.0	1,282.4	1,268.9	
Lao PDR	1,301.0	1,445.9	1,701.0	1,793.5	
Latvia	13,781.2	13,775.3	15,025.8	15,692.2	
Lebanon	9,132.4	9,729.3	9,870.5	10,057.9	
Lesotho	1,241.2	1,158.8	1,064.8	1,034.2	
Liberia	378.8	414.2	453.3	457.9	
Libya	5,517.8	13,035.2	10,454.8	6,573.4	
Liechtenstein	157,093.0	149,160.8			
Lithuania	14,367.2	14,342.5	15,692.0	16,489.7	
Luxembourg	113,239.6	105,447.1	113,726.6	116,612.9	
Macao SAR, China	67,013.0	77,078.8	90,331.8	96,038.1	
Macedonia, FYR	5,080.0	4,709.5	5,195.3	5,455.6	
Madagascar	456.3	445.0	463.0	449.4	
Malawi	369.6	270.1	239.9	255.0	
Malaysia	10,427.8	10,834.7	10,973.7	11,307.1	
Maldives	6,497.6	6,530.0	7,100.9	7,635.5	
Mali	680.8	641.8	659.5	704.5	
Malta	22,347.7	21,176.3	22,776.2		
Marshall Islands	3,290.0	3,502.3	3,602.9	3,529.7	
Mauritania	1,390.9	1,282.8	1,306.0	1,275.0	
Mauritius	8,984.6	9,113.6	9,479.9	10,016.6	
Mexico	9,715.1	9,703.4	10,172.7	10,325.6	
Micronesia, Fed. Sts.	2,998.6	3,147.7	3,044.1	3,057.1	
Moldova	1,970.6	2,046.5	2,244.0	2,238.9	
Monaco	163,351.6					
Mongolia	3,772.9	4,377.2	4,387.7	4,129.4	
Montenegro	7,318.7	6,586.7	7,186.4	7,378.3	
Morocco	3,066.5	2,931.4	3,156.2	3,190.3	
Mozambique	524.9	564.8	605.2	585.6	
Myanmar		1,421.5	1,107.0	1,203.8	
Namibia	5,539.6	5,680.0	5,435.5	5,408.2	
Nepal	695.9	685.5	692.3	701.7	
Netherlands	53,537.3	49,474.7	51,425.1	52,138.7	
New Caledonia						
New Zealand	37,896.9	39,505.0	42,308.2	44,342.2	
Nicaragua	1,679.7	1,779.9	1,825.0	1,963.1	
Niger	378.2	393.6	418.5	427.4	
Nigeria	2,514.1	2,739.9	2,979.8	3,203.3	
Northern Mariana Islands						
Norway	100,575.1	101,563.7	102,832.3	97,299.6	
Oman	21,164.3	21,533.8	20,011.3	19,309.6	
Pakistan	1,230.8	1,266.4	1,275.4	1,316.6	
Palau	9,765.3	10,397.8	10,926.3	11,879.7	
Panama	9,036.0	10,138.5	11,206.4	11,948.9	
